grid_id,final_score_citywide,score_source,driver_place,geometry
5*3*0*3*,5.619278,BASE_ONLY,,"POLYGON ((126.96730032972269 37.616340093760556, 126.96730013244067 37.61679058783325, 126.96673380118902 37.61679042954253, 126.96673400188777 37.616339935472396, 126.96730032972269 37.616340093760556))"
5*9*2*2*,5.6164737,BASE_ONLY,,"POLYGON ((126.98264359247386 37.619851201251514, 126.9826434877468 37.62030169510831, 126.98207712979531 37.620301610446, 126.98207723793972 37.61985111659056, 126.98264359247386 37.619851201251514))"
5*4*3*7*,5.605510529666667,PLACE_PROPAGATED,Seochon,"POLYGON ((126.95982396780964 37.605138463873644, 126.95982372551946 37.60558895876614, 126.95925747925074 37.60558876464408, 126.95925772495575 37.605138269754725, 126.95982396780964 37.605138463873644))"
5*6*1*6*,5.6016307,BASE_ONLY,,"POLYGON ((126.97384783213042 37.618977410771755, 126.97384767433546 37.6194279046691, 126.97328132304597 37.61942777779349, 126.97328148425808 37.61897728389819, 126.97384783213042 37.618977410771755))"
5*3*9*5*,5.599157325237771,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96838949933958 37.57654104361436, 126.96838930890212 37.576991540737374, 126.96782327920299 37.57699138781148, 126.9678234730505 37.57654089069095, 126.96838949933958 37.57654104361436))"
5*7*7*0*,5.592688403137085,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99385925439553 37.57207871597857, 126.99385921740657 37.572529213509135, 126.99329322139674 37.572529182711094, 126.99329326179497 37.572078685181026, 126.99385925439553 37.57207871597857))"
5*1*3*9*,5.575250720372981,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95739101707657 37.57269922548749, 126.95739076041434 37.573149722848285, 126.95682475986459 37.57314951720374, 126.95682501993623 37.572699019846276, 126.95739101707657 37.57269922548749))"
5*5*3*8*,5.555131,BASE_ONLY,,"POLYGON ((126.98177750056179 37.61361168051901, 126.98177739063352 37.61406217485123, 126.98121108000944 37.614062086044626, 126.98121119335399 37.61361159171383, 126.98177750056179 37.61361168051901))"
5*6*7*6*,5.5265174,BASE_ONLY,,"POLYGON ((126.96096784804837 37.61774227909622, 126.96096761254967 37.618192773030344, 126.96040127070245 37.61819258434291, 126.96040150961814 37.61774209041184, 126.96096784804837 37.61774227909622))"
5*0*1*3*,5.515666470388418,PLACE_PROPAGATED,Bukchon Hanok Village,"POLYGON ((127.00757162194394 37.602063664301944, 127.00757166760118 37.60251415953685, 127.00700544450073 37.602514194504536, 127.00700540225783 37.602063699269074, 127.00757162194394 37.602063664301944))"
5*5*8*1*,5.5107284,BASE_ONLY,,"POLYGON ((126.99842811999338 37.61537180082174, 126.99842811051032 37.61582229504193, 126.99786178650815 37.61582228613945, 126.99786179940779 37.6153717919194, 126.99842811999338 37.61537180082174))"
5*3*4*4*,5.4870324,BASE_ONLY,,"POLYGON ((126.9954763744686 37.6140299191398, 126.99547634717916 37.61448041346146, 126.99491003335544 37.61448039039402, 126.99491006406124 37.614029896072736, 126.9954763744686 37.6140299191398))"
5*8*3*1*,5.472001,BASE_ONLY,,"POLYGON ((126.97204686133477 37.61806648660396, 126.97204669267879 37.61851698056432, 126.97148034830752 37.61851684504779, 126.97148052038051 37.61806635108962, 126.97204686133477 37.61806648660396))"
5*3*8*4*,5.460326225315862,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((127.00224045509948 37.576329788034606, 127.002240468597 37.57678028524219, 127.00167444040878 37.576780294627866, 127.00167443032126 37.57632979742013, 127.00224045509948 37.576329788034606))"
5*2*2*9*,5.4553123,BASE_ONLY,,"POLYGON ((126.96663703893711 37.617370234680074, 126.9666368376459 37.61782072867092, 126.96607049858474 37.617820567193185, 126.96607070329287 37.61737007320494, 126.96663703893711 37.617370234680074))"
5*3*1*2*,5.449677139297936,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99836259929383 37.583700101368855, 126.99836258942678 37.58415059801269, 126.997796505439 37.58415058880291, 126.9977965187173 37.58370009215921, 126.99836259929383 37.583700101368855))"
5*3*0*9*,5.332400643778436,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95502475910455 37.592878356591974, 126.95502448799158 37.59332885239454, 126.95445833466553 37.59332863530611, 126.95445860919129 37.592878139507036, 126.95502475910455 37.592878356591974))"
5*5*9*4*,5.310404548696647,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96505144290299 37.56819706148793, 126.96505123241874 37.56864755923401, 126.96448526588622 37.5686473903344, 126.96448547977909 37.56819689259103, 126.96505144290299 37.56819706148793))"
5*1*8*4*,5.251709756563773,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99437125200848 37.56958701648924, 126.99437121810655 37.57003751421085, 126.9938052409519 37.570037485869165, 126.99380527826266 37.56958698814801, 126.99437125200848 37.56958701648924))"
5*1*7*7*,5.2045898405663,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((127.01145408301663 37.58500307275381, 127.01145415204282 37.585453569289115, 127.01088805819855 37.58545362286321, 127.0108879925838 37.58500312632704, 127.01145408301663 37.58500307275381))"
5*4*7*5*,5.1807504,BASE_ONLY,,"POLYGON ((126.97195896396549 37.61153952951393, 126.97195879481899 37.61199002397351, 126.97139249994815 37.61198988805519, 126.9713926725106 37.61153939359781, 126.97195896396549 37.61153952951393))"
5*3*1*6*,5.166269943425108,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99909725659418 37.57127890625134, 126.99909725115663 37.57172940384564, 126.99853126119599 37.57172939816084, 126.99853127004269 37.571278900566625, 126.99909725659418 37.57127890625134))"
5*2*0*4*,5.144593,BASE_ONLY,,"POLYGON ((127.0045967556681 37.610143455944794, 127.00459678339483 37.61059395056386, 127.00403049904129 37.61059397126281, 127.00403047473027 37.61014347664342, 127.0045967556681 37.610143455944794))"
5*5*4*0*,5.1390424,BASE_ONLY,,"POLYGON ((126.97432066390576 37.61061038434298, 126.97432050901045 37.6110608788824, 126.97375422117376 37.6110607542997, 126.97375437948483 37.61061025976231, 126.97432066390576 37.61061038434298))"
