"가맹점집계구코드(TOT_REG_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","국가별(COUNTRY_ENG_NM)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"1123063010003","SF010408","201701","20170108","중국",178120,1
"1116064050003","SF031018","201801","20180117","일본",16584.49,2.86
"1106071020001","SF020816","201811","20181126","일본",29900,1
"1123077030001","SF010202","201705","20170531","러시아",29000,3
"1101073040001","SF071943","201704","20170420","미국",10400,1
"1123064050001","SF010203","201907","20190716","싱가폴",7200,1
"1124065020006","SF010306","202107","20210719","미국",6000,1
"1108064010003","SF010306","201908","20190826","미국",27850,1
"1114071010010","SF020816","201701","20170107","미국",942800,1
"1116069040005","SF082045","202102","20210225","미국",35933.05,1
"1123078040302","SF010203","202012","20201224","일본",13129.38,1
"1124062010504","SF020816","201907","20190713","중국",27000,1
"1123064040008","SF020713","202006","20200603","미국",83000,1
"1112051040010","SF041121","201902","20190214","일본",15000,1
"1102052030001","SF010306","201905","20190518","중국",15800,1
"1103073020004","SF010306","201702","20170203","ETC",22500,1
"1119056020002","SF020713","202004","20200426","미국",4320,1
"1103052010001","SF010101","202004","20200425","ETC",21800,1
"1116067010301","SF020816","201807","20180725","일본",48300,2
"1104067020004","SF010408","201707","20170718","ETC",60000,1
"1123064030002","SF082045","201808","20180827","태국",22500,4
"1124062010504","SF010101","201710","20171004","미국",5500,1
"1116052010003","SF041222","201709","20170919","ETC",27520,1
"1121073020007","SF031020","201710","20171004","미국",43000,3
"1119054030002","SF082045","201704","20170407","미국",12270,3
"1105063020001","SF051432","201704","20170416","미국",4500,1
"1102055040001","SF051331","201905","20190522","ETC",56000,2.86
"1111064040001","SF010101","202106","20210606","ETC",82922.43,1
"1114075010005","SF010101","202001","20200116","미국",7000,1
"1105054020015","SF010306","202005","20200519","미국",6800,1
"1105067030011","SF041121","201710","20171016","미국",36190,1
"1110063010001","SF010203","202010","20201003","미국",200000,14
"1123080040005","SF010101","201703","20170317","러시아",9000,4
"1108082040007","SF010408","201910","20191022","러시아",8900,2
"1122052060002","SF051329","201908","20190818","미국",66500,107
"1103074020001","SF010305","201705","20170514","ETC",28000,1
"1114068040011","SF010101","201906","20190601","ETC",55000,3
"1104066010001","SF010408","201901","20190123","ETC",70000,1
"1122053010010","SF020816","201910","20191016","미국",7400,1
"1114068040004","SF010101","201803","20180329","러시아",21000,1
"1109075020004","SF010408","201803","20180311","러시아",10800,1
"1103070010010","SF020816","201803","20180310","중국",175058.46,1
"1122051010007","SF051432","201808","20180804","ETC",1950,1
"1121080020013","SF010408","201702","20170225","미국",123080,1
"1120068040005","SF020816","201905","20190507","ETC",3200,1
"1123053040006","SF051325","201909","20190906","ETC",448590,1
"1102071020001","SF010101","201705","20170509","태국",45000,1
"1103071020004","SF020816","201809","20180926","러시아",63200,1
"1121078030001","SF020713","201908","20190820","미국",9500,2
"1122054030002","SF010101","202005","20200528","일본",13400,4
"1114066010002","SF010101","201911","20191115","미국",611400,1
"1114060030001","SF051330","201806","20180612","ETC",85225.83,1
"1122055040007","SF061535","201803","20180323","영국",11000,2
"1117072050005","SF051328","201707","20170705","ETC",24000,1
"1114066070002","SF082045","201903","20190312","미국",56000,1
"1113075040004","SF010305","201811","20181125","일본",17000,2.86
"1114066070002","SF082045","201712","20171225","ETC",554400,1
"1111077030114","SF112555","201909","20190908","미국",45000,7
"1122052050002","SF020816","201910","20191016","미국",86700.01,1
"1104054010003","SF020816","201806","20180628","중국",5000,1
"1122052030201","SF010408","201908","20190827","미국",5000,2
"1106089060004","SF010305","201808","20180830","ETC",96400,4
"1114066050001","SF010306","202010","20201015","홍콩",29420,1
"1114069010017","SF020816","201811","20181128","ETC",20730.61,2
"1103073020004","SF020816","202007","20200710","미국",39000,1
"1119054010001","SF082148","201909","20190928","대만",7100,1
"1123064050301","SF051330","202011","20201117","ETC",55000,1
"1123058010006","SF010101","201912","20191207","미국",68000,1
"1117054030001","SF010203","201809","20180922","미국",60570,1
"1123051020003","SF071943","201808","20180804","일본",41400,9
"1102055040001","SF010408","201705","20170513","미국",79900,2
"1115053010001","SF010101","202104","20210407","ETC",30000,2.86
"1116069030018","SF020816","202011","20201125","일본",4800,1
"1119061010001","SF020816","202002","20200229","영국",39530,1
"1121066030015","SF041222","201801","20180103","ETC",218900,6
"1114071040005","SF010408","201808","20180830","미국",1900,1
"1123065020007","SF041121","202104","20210423","미국",39000,1
"1124069020001","SF010203","201812","20181205","미국",55500,1
"1115070020002","SF041222","201905","20190501","미국",9000,2
"1114066090203","SF010408","202103","20210310","미국",8000,1
"1119054030002","SF051432","201709","20170928","미국",3400,1
"1124077030001","SF010101","201807","20180724","미국",126280,4
"1103074040001","SF010203","201702","20170220","미국",33400,2
