grid_id,lon,lat,base_score
5*4*4*4*,197235.853422607,556494.187166825,2.0251763
5*4*4*5*,197082.157713513,554374.098819057,3.4579988
5*4*4*6*,197762.960674895,553827.852765006,3.4050305
5*4*4*7*,196571.280533814,556126.126767514,2.8794062
5*4*4*8*,197971.28295274463,554415.055076496,3.7768471
5*4*4*9*,196542.833200655,557285.0915736,1.5152409
5*4*5*6*,199439.432841897,553476.279257857,5.5665746
5*4*5*7*,199013.931185642,555786.523755131,2.8239062
5*4*5*8*,197482.116767567,556896.287867961,5.6945863
5*4*5*9*,198017.55198369932,555001.0162360574,4.015579
5*4*6*0*,198578.856860398,552301.374796691,5.790155
5*4*6*1*,199635.8787307647,557371.9660470734,3.4923644
5*4*6*2*,198389.33361520767,553399.159497559,3.9349127
5*4*7*5*,197499.151863904,556909.052307649,5.1807504
5*4*7*6*,197265.65714026248,554361.074189803,3.6006303
5*4*8*0*,199177.756227549,554011.89463923,2.6377883
5*4*8*1*,197540.107065475,555449.574166135,3.5043943
5*4*8*4*,197082.68969173,552761.442066694,6.0985065
5*4*8*5*,197175.227013032,553650.755242943,2.6599798
5*4*8*8*,198075.168140141,553906.054158032,3.3241584
5*4*9*6*,197679.45815319,554692.180818332,3.5034072
5*5*1*0*,197357.6695565655,555971.0814387875,3.5089145
5*5*1*1*,196713.0140859665,558549.6365705925,3.307467
5*5*1*2*,199199.5692609945,552744.4372347386,2.8004737
5*5*1*4*,199336.51632933848,553105.0220620565,3.247211
5*5*1*6*,201441.439836151,553251.844291814,4.352083
5*5*1*9*,199099.39022948896,555304.1916821207,4.2141085
5*5*2*3*,199888.342599648,553595.975081369,6.119045
5*5*2*4*,199237.850961651,556290.478021048,4.8895516
5*5*2*5*,200288.849987815,557107.443941475,1.3236626
5*5*2*6*,198086.329322955,552169.450005834,5.8422
5*5*2*8*,196438.58305127063,555100.8254067673,4.031216
5*5*2*9*,198919.798450913,553374.159395288,4.0109158
5*5*3*1*,196661.970285204,552756.128054958,5.9275823
5*5*3*3*,197177.09126021952,554726.480517546,3.6655028
5*5*3*4*,198214.792420872,554939.7596315176,3.9111364
5*5*3*5*,198536.300561648,553118.860123622,4.567492
5*5*3*8*,198366.111899865,557138.825002417,5.555131
5*5*4*0*,197707.646996568,556805.867630187,5.1390424
5*5*4*1*,197726.520434499,555161.8211120691,4.0378757
5*5*4*2*,200033.550650365,557601.028778276,4.6318874
5*5*4*3*,197227.360758404,555475.6271170245,3.7499266
5*5*4*4*,197938.464674695,558095.144294857,4.991654
5*5*4*5*,196785.883457255,556203.779139803,3.8689032
5*5*4*6*,199025.37650823,554259.484858574,7.0626493
5*5*5*1*,197196.484287538,554722.482763925,3.3178217
5*5*5*3*,197068.323177445,552495.468780462,5.7841797
5*5*5*8*,198550.14028333905,552887.475096134,3.1399229
5*5*5*9*,196933.763649267,553131.61472276,5.0141053
5*5*7*6*,197460.67594542736,554004.27670984,4.5577254
5*5*7*7*,197403.58163856968,554095.4105194187,4.215927
5*5*8*0*,197879.977137817,556693.641988153,1.9044243
5*5*8*1*,199836.219948046,557334.024346569,5.5107284
5*5*8*3*,197920.393733767,553877.318250745,3.468028
5*5*8*8*,196741.224046619,556156.973001726,3.9270782
5*5*9*0*,197075.765200987,552934.858364957,5.8924837
5*5*9*2*,197597.018029715,553542.257995259,2.057848
5*5*9*3*,197884.03957080469,554799.616310178,4.560126
5*5*9*4*,196887.47101458,552098.731191242,5.240146
5*5*9*5*,196824.187292784,553019.929147348,5.9723997
5*5*9*6*,197309.622800473,554820.7082165073,4.6220994
5*5*9*7*,198284.190729871,552613.045695341,6.052611
5*5*9*8*,196191.79330771,557751.550916763,4.6772876
5*5*9*9*,197237.458745096,554532.8681944745,4.0724044
5*6*0*0*,196720.473030363,552982.155003219,6.0736256
5*6*0*1*,196596.552780958,554753.873039958,2.8260868
5*6*0*6*,196346.569766584,553191.218580588,6.0386453
5*6*0*7*,199682.508917021,556252.712338612,5.969456
5*6*0*9*,199905.540623044,555002.9708738984,2.873435
5*6*1*2*,198595.330892631,554352.835783308,3.5177267
5*6*1*4*,199208.865500673,556855.5987837565,3.2521381
5*6*1*5*,195890.750198296,557207.969421602,5.065985
5*6*1*6*,197666.157098939,557734.528750293,5.6016307
5*6*2*8*,200289.381389075,552505.081367129,4.746697
5*6*3*0*,197683.714051407,555693.708834875,3.4562404
5*6*3*2*,199120.849159127,558039.295896504,4.830644
